Datum,Umsatz,Warengruppe,id
2013-07-01,148.828353112183,1,1307011
2013-07-01,201.198425690037,3,1307013
2013-07-01,65.890168799361,4,1307014
2013-07-01,317.475874933038,5,1307015
2013-07-01,535.856284785361,2,1307012
2013-07-02,74.5439171827412,4,1307024
2013-07-02,265.261253994438,3,1307023
2013-07-02,159.79375714468,1,1307021
2013-07-02,383.628681612577,5,1307025
2013-07-02,546.780787392297,2,1307022
2013-07-03,305.523072325318,5,1307035
2013-07-03,210.260241465493,3,1307033
2013-07-03,111.885593514353,1,1307031
2013-07-03,69.2627280649987,4,1307034
2013-07-03,427.343258749983,2,1307032
2013-07-04,308.408167942149,5,1307045
2013-07-04,454.859641347987,2,1307042
2013-07-04,61.490175369225,4,1307044
2013-07-04,190.686641378586,3,1307043
2013-07-04,168.864940979931,1,1307041
2013-07-05,355.518770367742,5,1307055
2013-07-05,181.644870215041,3,1307053
2013-07-05,86.7598614451924,4,1307054
2013-07-05,171.280754117955,1,1307051
2013-07-05,492.818804066088,2,1307052
2013-07-06,174.552359998476,1,1307061
2013-07-06,631.906068038484,2,1307062
2013-07-06,80.6465768881107,4,1307064
2013-07-06,291.557959835153,3,1307063
2013-07-06,361.866932797941,5,1307065
2013-07-07,94.6039024817053,4,1307074
2013-07-07,279.665938833443,3,1307073
2013-07-07,92.6377553788373,1,1307071
2013-07-07,695.25572963054,2,1307072
2013-07-07,370.20960108863,5,1307075
2013-07-08,49.5000238633042,4,1307084
2013-07-08,195.158794309303,3,1307083
2013-07-08,285.233382496522,5,1307085
2013-07-08,135.500244042392,1,1307081
2013-07-08,538.529249911711,2,1307082
2013-07-09,75.2089975834558,4,1307094
2013-07-09,136.048382778344,1,1307091
2013-07-09,585.957264698849,2,1307092
2013-07-09,342.089345776475,5,1307095
2013-07-09,245.808338509722,3,1307093
2013-07-10,343.353066508123,5,1307105
2013-07-10,135.132314289581,1,1307101
2013-07-10,265.109142544045,3,1307103
2013-07-10,73.8056511129258,4,1307104
2013-07-10,567.365764527953,2,1307102
2013-07-11,569.109374584873,2,1307112
2013-07-11,315.911756962233,5,1307115
2013-07-11,138.549392636714,1,1307111
2013-07-11,68.6330279122302,4,1307114
2013-07-11,234.65807920749,3,1307113
2013-07-12,362.802489634211,5,1307125
2013-07-12,101.447511461298,1,1307121
2013-07-12,290.199097765019,3,1307123
2013-07-12,600.267914678783,2,1307122
2013-07-13,74.2744737887665,4,1307134
2013-07-13,340.046632736531,3,1307133
2013-07-13,359.166188843392,5,1307135
2013-07-13,141.233309883732,1,1307131
2013-07-13,747.140776382576,2,1307132
2013-07-14,777.048841669282,2,1307142
2013-07-14,115.271617188867,4,1307144
2013-07-14,461.082124524619,5,1307145
2013-07-14,320.626816189556,3,1307143
2013-07-14,112.524365708762,1,1307141
2013-07-15,161.264677322182,1,1307151
2013-07-15,243.526401440661,3,1307153
2013-07-15,596.995099998235,2,1307152
2013-07-15,380.68369651152,5,1307155
2013-07-15,99.4935305857439,4,1307154
2013-07-16,287.415464972525,3,1307163
2013-07-16,320.43533597922,5,1307165
2013-07-16,91.7796976081033,4,1307164
2013-07-16,116.821358174215,1,1307161
2013-07-16,558.797138274201,2,1307162
2013-07-17,150.572919592838,1,1307171
2013-07-17,396.99424714406,5,1307175
2013-07-17,628.325718978073,2,1307172
2013-07-17,301.777437970497,3,1307173
2013-07-18,647.822253705942,2,1307182
2013-07-18,89.2058404577425,4,1307184
2013-07-18,101.90072129658,1,1307181
2013-07-18,250.426586853024,3,1307183
2013-07-18,300.398790118057,5,1307185
2013-07-19,287.18828629416,3,1307193
2013-07-19,369.400389277533,5,1307195
2013-07-19,62.0636098816993,4,1307194
2013-07-19,646.788959790823,2,1307192
2013-07-19,161.63511518654,1,1307191
2013-07-20,394.765674710477,3,1307203
2013-07-20,346.154004294146,5,1307205
2013-07-20,843.051280035386,2,1307202
2013-07-20,134.328076682024,1,1307201
2013-07-20,69.9369965472912,4,1307204
2013-07-21,287.443788531561,5,1307215
2013-07-21,346.658236387984,3,1307213
2013-07-21,815.942264195776,2,1307212
2013-07-21,66.2887578161955,1,1307211
2013-07-21,82.6826868784511,4,1307214
2013-07-22,356.484067206325,5,1307225
2013-07-22,297.712614415266,3,1307223
2013-07-22,99.3353908053911,4,1307224
2013-07-22,647.682748973215,2,1307222
2013-07-22,131.223948997842,1,1307221
2013-07-23,316.29681714496,5,1307235
2013-07-23,70.5290024618065,4,1307234
2013-07-23,691.043662205889,2,1307232
2013-07-23,323.301431663341,3,1307233
2013-07-23,110.315246796665,1,1307231
2013-07-24,698.340862077002,2,1307242
2013-07-24,327.339400651794,5,1307245
2013-07-24,328.023102507764,3,1307243
