id,Datum,TagVorFeiertag
1307011,2013-07-01,0
1307011,2013-07-01,0
1307011,2013-07-01,0
1307011,2013-07-01,0
1307011,2013-07-01,0
1307013,2013-07-01,0
1307013,2013-07-01,0
1307013,2013-07-01,0
1307013,2013-07-01,0
1307013,2013-07-01,0
1307014,2013-07-01,0
1307014,2013-07-01,0
1307014,2013-07-01,0
1307014,2013-07-01,0
1307014,2013-07-01,0
1307015,2013-07-01,0
1307015,2013-07-01,0
1307015,2013-07-01,0
1307015,2013-07-01,0
1307015,2013-07-01,0
1307012,2013-07-01,0
1307012,2013-07-01,0
1307012,2013-07-01,0
1307012,2013-07-01,0
1307012,2013-07-01,0
1307024,2013-07-02,0
1307024,2013-07-02,0
1307024,2013-07-02,0
1307024,2013-07-02,0
1307024,2013-07-02,0
1307023,2013-07-02,0
1307023,2013-07-02,0
1307023,2013-07-02,0
1307023,2013-07-02,0
1307023,2013-07-02,0
1307021,2013-07-02,0
1307021,2013-07-02,0
1307021,2013-07-02,0
1307021,2013-07-02,0
1307021,2013-07-02,0
1307025,2013-07-02,0
1307025,2013-07-02,0
1307025,2013-07-02,0
1307025,2013-07-02,0
1307025,2013-07-02,0
1307022,2013-07-02,0
1307022,2013-07-02,0
1307022,2013-07-02,0
1307022,2013-07-02,0
1307022,2013-07-02,0
1307035,2013-07-03,0
1307035,2013-07-03,0
1307035,2013-07-03,0
1307035,2013-07-03,0
1307035,2013-07-03,0
1307033,2013-07-03,0
1307033,2013-07-03,0
1307033,2013-07-03,0
1307033,2013-07-03,0
1307033,2013-07-03,0
1307031,2013-07-03,0
1307031,2013-07-03,0
1307031,2013-07-03,0
1307031,2013-07-03,0
1307031,2013-07-03,0
1307034,2013-07-03,0
1307034,2013-07-03,0
1307034,2013-07-03,0
1307034,2013-07-03,0
1307034,2013-07-03,0
1307032,2013-07-03,0
1307032,2013-07-03,0
1307032,2013-07-03,0
1307032,2013-07-03,0
1307032,2013-07-03,0
1307045,2013-07-04,0
1307045,2013-07-04,0
1307045,2013-07-04,0
1307045,2013-07-04,0
1307045,2013-07-04,0
1307042,2013-07-04,0
1307042,2013-07-04,0
1307042,2013-07-04,0
1307042,2013-07-04,0
